Jahr,Ertrag_Lizenzen,Ertrag_Veranstaltungen,Ertrag_Sponsoring,Ertrag_Subventionen,Ertrag_Sonstiges,Ertrag_Total,Aufwand_Personal,Aufwand_Veranstaltungen,Aufwand_Betrieb,Aufwand_Sonstiges,Aufwand_Total,Ergebnis
2020,352554,803592,1088459,9976645,1914308,14135558,3141937,10061060,861711,69531,14134239,1319
2021,392685,622313,1459517,8669460,1816629,12960604,3302948,8564746,994650,97272,12959616,988
2022,408115,675850,1340828,5413429,2472584,10310806,4469003,4853893,842274,139376,10304546,6260
2023,445239,905374,1751561,5287152,2140322,10529648,4737306,4758585,856995,139477,10492363,37285
2024,406031,1429858,1994618,6154426,2263322,12248255,5198716,5720227,1136711,137404,12193058,55197
2025,423921,928083,2880194,7100437,2198502,13531137,5005284,7257838,917243,152229,13332594,198543
